Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,clean_text
disaat semua cowok berusaha melacak perhatian gue loe lantas remehkan perhatian yg gue kasih khusus ke elo basic elo cowok bego,1,1,1,0,0,0,0,0,1,1,0,0,di saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok
siapa yang telat ngasih tau elu edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga,0,1,0,0,0,0,0,0,0,0,0,0,siapa yang telat memberi tau kamu gue bergaul dengan cigax jifla calis sama siapa itu licew juga
kadang aku berfikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu ninggalkan aku sendirian ketika orangtuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter,0,0,0,0,0,0,0,0,0,0,0,0,kadang aku berpikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu meninggalkan aku sendirian ketika orang tuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter
aku itu aku tau matamu sipit tapi diliat dari mana itu aku,0,0,0,0,0,0,0,0,0,0,0,0,aku itu aku tau matamu tapi dilihat dari mana itu aku
kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah,1,1,0,1,1,0,0,0,0,0,1,0,kaum kafir sudah kelihatan dongoknya dari awal tambah lagi haha
ya bani taplak dkk,1,1,0,1,0,0,0,0,1,0,1,0,ya dan kawan kawan
deklarasi pilkada aman dan anti hoax warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0,deklarasi pilihan kepala daerah aman dan anti hoaks warga dukuh sari jabon
gue baru aja kelar re watch aldnoah zero paling kampret emang endingnya karakter utama cowonya kena friendzone bray xd url,0,1,0,0,0,0,0,0,0,0,0,0,gue baru saja selesai re watch aldnoah zero paling memang akhirnya karakter utama cowoknya kena friendzone bro xd uniform resource locator
nah admin belanja satu lagi po terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kaw kaw doket mano tu gerai rojak mertuaku taipan depan twins baby romantika bank islam senawang,0,0,0,0,0,0,0,0,0,0,0,0,nah admin belanja satu lagi po terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kau kau doket mana itu gerai rozak mertuaku taipan depan kembar baby romantika bank islam senawang
enak lg klo smbil ngewe,0,1,0,0,0,0,0,0,0,0,0,0,enak lagi kalau sambil
setidaknya gw punya jari tengah buat lu sebelom gw ukur nyali sama bacot lu,1,1,1,0,0,0,0,0,1,1,0,0,setidaknya gue punya jari tengah buat kamu sebelum gue ukur nyali sama kamu
banci kaleng malu ga bisa jawab pertanyaan kami dari hari lalu nyungsep koe url,1,1,1,0,0,0,0,1,0,1,0,0,kaleng malu tidak bisa jawab pertanyaan kami dari hari lalu nyungsep koe uniform resource locator
kalo belajar ekonomi mestinya jago memprivatisasi hati orang duh ironi,0,0,0,0,0,0,0,0,0,0,0,0,kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi
aktor huruhara prabowo s ingin lengserkan pemerintahan jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0,aktor huru hara prabowo si ingin lengserkan pemerintahan jokowi nyata
bu guru enakan jadi jablay atau guru esde sih menikmati jadi pecun ini guru,1,1,1,0,0,0,0,1,0,1,0,0,bu guru enakan jadi atau guru sekolah dasar sih menikmati jadi ini guru
lawan bicara gw gak intelek kyk loe yg otak gak punya ttg kencing onta gw mengakui hadis nabi dan itu sahih kafir kyk loe pasti menolak makanya loe ahlunnar,1,1,1,0,1,0,0,0,0,1,0,0,lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tentang kencing gue mengakui hadis nabi dan itu sahih kayak kamu pasti menolak makanya kamu ahlun nar
belakangan ini kok fikiran ampas banget ya,0,0,0,0,0,0,0,0,0,0,0,0,belakangan ini kok pikiran banget ya
ari sarua beki mah repeh monyet,0,1,0,0,0,0,0,0,0,0,0,0,ari sama beki adalah rapi
jadi cowo itu harus gantle kalo ga gantle itu namanya banci,1,1,0,1,0,0,0,1,0,0,1,0,jadi cowok itu harus gantle kalau tidak gantle itu namanya
slga mnr bom,0,0,0,0,0,0,0,0,0,0,0,0,alga mnr bom
asw ya tapi gua jarang ngambek tacut wkkwkwkwkw gua kan bucin,0,1,0,0,0,0,0,0,0,0,0,0,anjing ya tapi gue jarang mengambek takut wkwk gue kan budak cinta
kalo kamu noob pasti peluang disakitin nya lebih gede si,0,0,0,0,0,0,0,0,0,0,0,0,kalau kamu pasti peluang disakiti nya lebih gede sih
joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g,0,0,0,0,0,0,0,0,0,0,0,0,joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak
pelajar sma kec bilah hilir deklarasi anti hoax pilkada damai,0,0,0,0,0,0,0,0,0,0,0,0,pelajar sama kecamatan bilah hilir deklarasi anti hoaks pilihan kepala daerah damai
bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan apbn pemerintah pusat insya allah siap beroperasi bulan depan,0,0,0,0,0,0,0,0,0,0,0,0,bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat insya allah siap beroperasi bulan depan
siapapun gubernur dan presidennya rakyatnya ya kita juga,0,0,0,0,0,0,0,0,0,0,0,0,siapapun gubernur dan presidennya rakyatnya ya kita juga
ini si kerjaannya delay mulu setan,1,1,0,1,0,0,0,0,1,0,1,0,ini sih kerjaannya delay mulu
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,0,0,0,0,0,0,0,0,0,0,0,0,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget
pki hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong,1,0,0,1,0,1,0,0,0,0,1,0,partai komunis indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong
itu mah sdh nenek nenek sy heran sama cebong biasay bohong terus,1,1,1,0,0,0,0,0,1,1,0,0,itu adalah sudah nenek nenek saya heran sama biasanya bohong terus
islam nusantara produk jil dipasarkan dg gencar oleh antek jil jil anti arab tapi pro aseng alm kh hasyim muzadi,1,0,0,1,1,0,0,0,0,0,1,0,islam nusantara produk jil dipasarkan dengan gencar oleh jil jil anti arab tapi pro asing almarhum kh hasyim muzadi
dari habis sahur sampe jam sibayik udah nete x skg rasanya lemas tak terkira,0,0,0,0,0,0,0,0,0,0,0,0,dari habis sahur sampai jam si bayi sudah x sekarang rasanya lemas tak terkira
gak kak emak mah gak demen ama yang sipit wkwk,0,0,0,0,0,0,0,0,0,0,0,0,tidak kak emak adalah tidak suka sama yang wkwk
kelakuan homok jaman now ngentot aja sambil live di blued url,0,1,0,0,0,0,0,0,0,0,0,0,kelakuan homo jaman now saja sambil live di blued uniform resource locator
ga kak gua bukan orang jawa maaf yak gua orang palembang soalnya kakak aja deh yg belajar aksara jawa atau kalak mau belajar budaya palembang,0,0,0,0,0,0,0,0,0,0,0,0,tidak kak gue bukan orang jawa maaf ya gue orang palembang soalnya kakak saja deh yang belajar aksara jawa atau kelak mau belajar budaya palembang
pegawai guardian training lagi kek mentang gue kek gembel cuman kaos sama flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari,1,1,0,1,0,0,0,0,1,0,1,0,pegawai guardian training lagi kayak mentang gue kayak cuma kaos sama flat shoes bertanya dijutekin bangsat memang malas belinya juga kabur gue ke matahari
bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipat sanji,0,1,0,0,0,0,0,0,0,0,0,0,yang telah melukai lady harus menerima ganjaran seratus kali lipat sanji
ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri,0,0,0,0,0,0,0,0,0,0,0,0,ajakan menolak berita hoaks dan sukseskan pilihan kepala daerah di wilayah kota kediri
presiden ri jokowi luarbiasa kerja nya tulus ihlas untuk,0,0,0,0,0,0,0,0,0,0,0,0,presiden ri jokowi luar biasa kerja nya tulus ikhlas untuk
edan emang goollnya fabiano,0,1,0,0,0,0,0,0,0,0,0,0,memang tujuannya fabiano
gapernah mendalami al quran ya bang pantesan mulutnya kaya orang kafir bejat hina farhatabbaslaw,1,1,1,0,1,0,1,0,0,1,0,0,tidak pernah mendalami al alquran ya bang pantas saja mulutnya kayak orang farhat abbas law
sangat terlihat beda sekali kewibawaannya yg sangat berwibawa cuma gubernur indonesia massya allah,0,0,0,0,0,0,0,0,0,0,0,0,sangat terlihat beda sekali kewibawaannya yang sangat berwibawa cuma gubernur indonesia masya allah
anjir baru kali ini lihat orang bego mau debat pilkada kerjanya nyerang karakter shame on you mpok silvy and agus,1,1,0,1,0,0,0,0,1,0,1,0,baru kali ini lihat orang mau debat pilihan kepala daerah kerjanya menyerang karakter kecewa on kamu empok silvy and agus
keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan peserta rakercabsu,0,0,0,0,0,0,0,0,0,0,0,0,keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan peserta rakercabsu
apa iya islam itu ga boleh dilokalisasi lha kristen aja mas ada nusantaranya mas liat aja di gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs sunda jawa ada hkbp juga kurang nusantara apa,0,0,0,0,0,0,0,0,0,0,0,0,apa iya islam itu tidak boleh di lokalisasi lah kristen saja mas ada nusantaranya mas lihat saja di gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas sunda jawa ada huria kristen batak protestan juga kurang nusantara apa
ciptakan situasi kamtibmas menjelang pilkada kapolsek konang silaturahmi ke tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0,ciptakan situasi keamanan dan ketertiban masyarakat menjelang pilihan kepala daerah kepala kepolisian sektor konang silaturahmi ke tokoh masyarakat
positif kok positif respon masyarakat terhadap cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor,0,0,0,0,0,0,0,0,0,0,0,0,positif kok positif respon masyarakat terhadap cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor
kata sembahyang mengadopsi tradisi lokal pada masa kerjaan hindu lahir dari tradisi ritus yang tunggal sama dengan menyembah all,0,0,0,0,0,0,0,0,0,0,0,0,kata sembahyang mengadopsi tradisi lokal pada masa pekerjaan hindu lahir dari tradisi ritus yang tunggal sama dengan menyembah all
kau pendikan tinggi tapi bodoh gk ada larang bawa agama biar orang islam yg di bayar ahok sadar gk jadi milih ahok gla,1,1,1,0,0,0,0,0,1,1,0,0,kamu pendidikan tinggi tapi tidak ada larang bawa agama biar orang islam yang di bayar ahok sadar tidak jadi memilih ahok gila
btp the best abaikan kaum kampret otak micin,1,1,0,1,0,0,0,0,1,0,1,0,ahok the best abaikan kaum otak micin
si otak tempurung mah ga usah d ladenin smkn d lawan semakin bloon dan dungu dan kalo ga gitu dia ga makan hehe,1,1,1,0,0,0,0,0,1,1,0,0,sih otak tempurung adalah tidak usah di meladeni semakin di lawan semakin belum dan dan kalau tidak begitu dia tidak makan hehe
awaasss jgn sampe beritanya sampe ke akhi gerung ntar susah nyari kosakatany klu bcr aja micingin mata bibir monyong kesamping suara keluar ky lg nhn kentut politik kotor skl jmn ini klu tahu b ini plng sambil ky nhn ngeden dungu,1,1,1,0,0,0,1,0,0,1,0,0,awaasss jangan sampai beritanya sampai ke saudara gerung nanti susah mencari kosakatanya kalau bocor saja memicing mata bibir monyong kesamping suara keluar ky lagi nhn kentut politik kotor sekali zaman ini kalau tahu b ini pulang sambil ky nhn ngeden
pinokio umur taonan tuh,1,0,1,0,0,0,0,0,1,1,0,0,pinokio umur tahunan itu
cerita silat lae semacam kho ping hoo yang dari indonesia tapi liang ie shen penulis dari china,0,0,0,0,0,0,0,0,0,0,0,0,cerita silat lae semacam kho merah muda oh yang dari indonesia tapi liang ie shen penulis dari cina
benci sekali dgn umat islam,1,0,0,1,1,0,0,0,0,0,1,0,benci sekali dengan umat islam
provokasi mayat politisasi agama penyebab kekalahan pilkada dki beginilah cara cebong mendeskripsikan kekalahan junjungannya fyi ahog blm pernah ikut pemilihan apapun kec jd wakil dan dia bukanlah etnis mayorita,1,1,1,0,0,1,0,0,0,1,0,0,provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibukota beginilah cara mendeskripsikan kekalahan junjungannya for your information ahok belum pernah ikut pemilihan apapun kecamatan jadi wakil dan dia bukanlah etnis mayoritas
dari pada gua nete,0,1,0,0,0,0,0,0,0,0,0,0,dari pada gue
lol bani lowo,1,1,0,1,0,0,0,0,1,0,1,0,wkwk lowo
takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan iblis mahluq yg alim telah beribadah beratus th dilaknat krn hasud takabburnya apalagi hanya seorang ahli ilmu filsafat yg tdk failosof mari kita demo diri sendi,0,0,0,0,0,0,0,0,0,0,0,0,takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan makhluk yang alim telah beribadah beratus tahun dilaknat karena hasud takaburnya apalagi hanya seorang ahli ilmu filsafat yang tidak failosof mari kita demo diri sendi
a orang yang suka ke konser konser sedikit boros,0,0,0,0,0,0,0,0,0,0,0,0,a orang yang suka ke konser konser sedikit boros
sampai kapan makan racun banyak ulama yang mengatakan hukum rokok mubah dan ada juga,0,0,0,0,0,0,0,0,0,0,0,0,sampai kapan makan racun banyak ulama yang mengatakan hukum rokok mubah dan ada juga
susilo bambang yudhoyono presiden ri ke meminta khofifah emil untuk dekat dengan masyarakat no bisa baguss,0,0,0,0,0,0,0,0,0,0,0,0,susilo bambang yudhoyono presiden ri ke meminta khofifah emil untuk dekat dengan masyarakat no bisa bagus
udah biasa kali gue kpoper tapi kalo ngomonv sama temen gue idol gua banci homo,1,1,1,0,0,0,0,1,0,1,0,0,sudah biasa kali gue penggemar korea pop tapi kalau mengomong sama teman gue idol gue
saya suka video url awal kisah perseteruan haji bolot malih tongtong,0,0,0,0,0,0,0,0,0,0,0,0,saya suka video uniform resource locator awal kisah perseteruan haji bolot malih tongtong
budaya kafir bersungguh klau hal islam tidak diendahkan,0,0,0,0,0,0,0,0,0,0,0,0,budaya bersungguh kalau hal islam tidak diindahkan
la la la hm hmm semua diam semua bisu kita coba tanya sama rumput yg bergoyang,0,0,0,0,0,0,0,0,0,0,0,0,lah lah lah hem hem semua diam semua kita coba tanya sama rumput yang bergoyang
apabila setan membisikkan was was kepadamu mintalah perlindungan kepada allah qs al a dan fushilat,0,0,0,0,0,0,0,0,0,0,0,0,apabila membisikkan was was kepadamu mintalah perlindungan kepada allah qs al a dan fussilat
klw ente atheis ngapain sibuk dgn agama orang,0,0,0,0,0,0,0,0,0,0,0,0,kalau kamu ateis apa sibuk dengan agama orang
lengserkan jokowi bangsat,1,1,1,0,0,0,0,0,1,0,0,1,lengserkan jokowi
selamat hari kartini,0,0,0,0,0,0,0,0,0,0,0,0,selamat hari kartini
bajingan homo terhadap anak kita terutama di kamar mandi laki jgn biarkan sendiri url,1,1,1,0,0,0,0,1,0,1,0,0,terhadap anak kita terutama di kamar mandi laki jangan biarkan sendiri uniform resource locator
iya cocot,1,1,1,0,0,0,0,0,1,1,0,0,iya
karena budaya indonesia,0,0,0,0,0,0,0,0,0,0,0,0,karena budaya indonesia
yang ngajarin solat a ajah itu orang aseng dia hanya ingin memecah belah islam,0,0,0,0,0,0,0,0,0,0,0,0,yang mengajarkan salat a saja itu orang asing dia hanya ingin memecah belah islam
x lo ngomong aja kaga bener bangke,1,1,1,0,0,0,0,0,1,1,0,0,x kamu berbicara saja tidak benar bangkai
kita semua tidak pernah akan mempercayai yg negara kita disuatu hari nanti akan dijajah oleh kerana terdapat kes pembubaran sistem beraja dinegara kita kini untuk menjadikan sebagai negara republik komunis padahal negara penjaja,0,0,0,0,0,0,0,0,0,0,0,0,kita semua tidak pernah akan memercayai yang negara kita di suatu hari nanti akan dijajah oleh ke ranah terdapat kes pembubaran sistem beraja di negara kita kini untuk menjadikan sebagai negara republik padahal negara penjaja
tapi masih menikmati kebijakan yang dulu diusulkan pki lha yo opo,1,0,0,1,0,1,0,0,0,0,1,0,tapi masih menikmati kebijakan yang dulu diusulkan partai komunis indonesia lah iya apa
kalo seumpama orang cina di usir paksa dari indonesia gimana,1,0,0,1,0,1,0,0,0,0,1,0,kalau seumpama orang cina di usir paksa dari indonesia bagaimana
bunda ngentot yuk,0,1,0,0,0,0,0,0,0,0,0,0,bunda yuk
china babi china maling https t co y hiwhjp,1,1,0,1,0,1,0,0,0,0,0,1,cina cina maling hypertext transfer protocol over secure socket layer t co iya hiwhjp
