Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,clean_text
di saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok,1,1,1,0,0,0,0,0,1,1,0,0,di saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok
siapa yang telat memberi tau kamu gue bergaul dengan cigax jifla calis sama siapa itu licew juga,0,1,0,0,0,0,0,0,0,0,0,0,siapa yang telat memberi tau kamu gue bergaul dengan cigax jifla calis sama siapa itu licew juga
kadang aku berpikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu meninggalkan aku sendirian ketika orang tuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter,0,0,0,0,0,0,0,0,0,0,0,0,kadang aku berpikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu meninggalkan aku sendirian ketika orang tuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter
aku itu aku tau matamu tapi dilihat dari mana itu aku,0,0,0,0,0,0,0,0,0,0,0,0,aku itu aku tau matamu tapi dilihat dari mana itu aku
kaum kafir sudah kelihatan dongoknya dari awal tambah lagi haha,1,1,0,1,1,0,0,0,0,0,1,0,kaum kafir sudah kelihatan dongoknya dari awal tambah lagi haha
ya dan kawan kawan,1,1,0,1,0,0,0,0,1,0,1,0,ya dan kawan kawan
deklarasi pilihan kepala daerah aman dan anti hoaks warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0,deklarasi pilihan kepala daerah aman dan anti hoaks warga dukuh sari jabon
gue baru saja selesai re watch aldnoah zero paling memang akhirnya karakter utama cowoknya kena friendzone bro xd uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,gue baru saja selesai re watch aldnoah zero paling memang akhirnya karakter utama cowoknya kena friendzone bro xd uniform resource locator
nah admin belanja satu lagi po terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kau kau doket mana itu gerai rozak mertuaku taipan depan kembar baby romantika bank islam senawang,0,0,0,0,0,0,0,0,0,0,0,0,nah admin belanja satu lagi po terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kau kau doket mana itu gerai rozak mertuaku taipan depan kembar baby romantika bank islam senawang
enak lagi kalau sambil,0,1,0,0,0,0,0,0,0,0,0,0,enak lagi kalau sambil
setidaknya gue punya jari tengah buat kamu sebelum gue ukur nyali sama kamu,1,1,1,0,0,0,0,0,1,1,0,0,setidaknya gue punya jari tengah buat kamu sebelum gue ukur nyali sama kamu
kaleng malu tidak bisa jawab pertanyaan kami dari hari lalu nyungsep koe uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0,kaleng malu tidak bisa jawab pertanyaan kami dari hari lalu nyungsep koe uniform resource locator
kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi,0,0,0,0,0,0,0,0,0,0,0,0,kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi
aktor huru hara prabowo si ingin lengserkan pemerintahan jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0,aktor huru hara prabowo si ingin lengserkan pemerintahan jokowi nyata
bu guru enakan jadi atau guru sekolah dasar sih menikmati jadi ini guru,1,1,1,0,0,0,0,1,0,1,0,0,bu guru enakan jadi atau guru sekolah dasar sih menikmati jadi ini guru
lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tentang kencing gue mengakui hadis nabi dan itu sahih kayak kamu pasti menolak makanya kamu ahlun nar,1,1,1,0,1,0,0,0,0,1,0,0,lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tentang kencing gue mengakui hadis nabi dan itu sahih kayak kamu pasti menolak makanya kamu ahlun nar
belakangan ini kok pikiran banget ya,0,0,0,0,0,0,0,0,0,0,0,0,belakangan ini kok pikiran banget ya
ari sama beki adalah rapi,0,1,0,0,0,0,0,0,0,0,0,0,ari sama beki adalah rapi
jadi cowok itu harus gantle kalau tidak gantle itu namanya,1,1,0,1,0,0,0,1,0,0,1,0,jadi cowok itu harus gantle kalau tidak gantle itu namanya
alga mnr bom,0,0,0,0,0,0,0,0,0,0,0,0,alga mnr bom
anjing ya tapi gue jarang mengambek takut wkwk gue kan budak cinta,0,1,0,0,0,0,0,0,0,0,0,0,anjing ya tapi gue jarang mengambek takut wkwk gue kan budak cinta
kalau kamu pasti peluang disakiti nya lebih gede sih,0,0,0,0,0,0,0,0,0,0,0,0,kalau kamu pasti peluang disakiti nya lebih gede sih
joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak,0,0,0,0,0,0,0,0,0,0,0,0,joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak
pelajar sama kecamatan bilah hilir deklarasi anti hoaks pilihan kepala daerah damai,0,0,0,0,0,0,0,0,0,0,0,0,pelajar sama kecamatan bilah hilir deklarasi anti hoaks pilihan kepala daerah damai
bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat insya allah siap beroperasi bulan depan,0,0,0,0,0,0,0,0,0,0,0,0,bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat insya allah siap beroperasi bulan depan
siapapun gubernur dan presidennya rakyatnya ya kita juga,0,0,0,0,0,0,0,0,0,0,0,0,siapapun gubernur dan presidennya rakyatnya ya kita juga
ini sih kerjaannya delay mulu,1,1,0,1,0,0,0,0,1,0,1,0,ini sih kerjaannya delay mulu
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget,0,0,0,0,0,0,0,0,0,0,0,0,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget
partai komunis indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong,1,0,0,1,0,1,0,0,0,0,1,0,partai komunis indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong
itu adalah sudah nenek nenek saya heran sama biasanya bohong terus,1,1,1,0,0,0,0,0,1,1,0,0,itu adalah sudah nenek nenek saya heran sama biasanya bohong terus
islam nusantara produk jil dipasarkan dengan gencar oleh jil jil anti arab tapi pro asing almarhum kh hasyim muzadi,1,0,0,1,1,0,0,0,0,0,1,0,islam nusantara produk jil dipasarkan dengan gencar oleh jil jil anti arab tapi pro asing almarhum kh hasyim muzadi
dari habis sahur sampai jam si bayi sudah x sekarang rasanya lemas tak terkira,0,0,0,0,0,0,0,0,0,0,0,0,dari habis sahur sampai jam si bayi sudah x sekarang rasanya lemas tak terkira
tidak kak emak adalah tidak suka sama yang wkwk,0,0,0,0,0,0,0,0,0,0,0,0,tidak kak emak adalah tidak suka sama yang wkwk
kelakuan homo jaman now saja sambil live di blued uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,kelakuan homo jaman now saja sambil live di blued uniform resource locator
tidak kak gue bukan orang jawa maaf ya gue orang palembang soalnya kakak saja deh yang belajar aksara jawa atau kelak mau belajar budaya palembang,0,0,0,0,0,0,0,0,0,0,0,0,tidak kak gue bukan orang jawa maaf ya gue orang palembang soalnya kakak saja deh yang belajar aksara jawa atau kelak mau belajar budaya palembang
pegawai guardian training lagi kayak mentang gue kayak cuma kaos sama flat shoes bertanya dijutekin bangsat memang malas belinya juga kabur gue ke matahari,1,1,0,1,0,0,0,0,1,0,1,0,pegawai guardian training lagi kayak mentang gue kayak cuma kaos sama flat shoes bertanya dijutekin bangsat memang malas belinya juga kabur gue ke matahari
yang telah melukai lady harus menerima ganjaran seratus kali lipat sanji,0,1,0,0,0,0,0,0,0,0,0,0,yang telah melukai lady harus menerima ganjaran seratus kali lipat sanji
ajakan menolak berita hoaks dan sukseskan pilihan kepala daerah di wilayah kota kediri,0,0,0,0,0,0,0,0,0,0,0,0,ajakan menolak berita hoaks dan sukseskan pilihan kepala daerah di wilayah kota kediri
presiden ri jokowi luar biasa kerja nya tulus ikhlas untuk,0,0,0,0,0,0,0,0,0,0,0,0,presiden ri jokowi luar biasa kerja nya tulus ikhlas untuk
memang tujuannya fabiano,0,1,0,0,0,0,0,0,0,0,0,0,memang tujuannya fabiano
tidak pernah mendalami al alquran ya bang pantas saja mulutnya kayak orang farhat abbas law,1,1,1,0,1,0,1,0,0,1,0,0,tidak pernah mendalami al alquran ya bang pantas saja mulutnya kayak orang farhat abbas law
sangat terlihat beda sekali kewibawaannya yang sangat berwibawa cuma gubernur indonesia masya allah,0,0,0,0,0,0,0,0,0,0,0,0,sangat terlihat beda sekali kewibawaannya yang sangat berwibawa cuma gubernur indonesia masya allah
baru kali ini lihat orang mau debat pilihan kepala daerah kerjanya menyerang karakter kecewa on kamu empok silvy and agus,1,1,0,1,0,0,0,0,1,0,1,0,baru kali ini lihat orang mau debat pilihan kepala daerah kerjanya menyerang karakter kecewa on kamu empok silvy and agus
keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan peserta rakercabsu,0,0,0,0,0,0,0,0,0,0,0,0,keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan peserta rakercabsu
apa iya islam itu tidak boleh di lokalisasi lah kristen saja mas ada nusantaranya mas lihat saja di gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas sunda jawa ada huria kristen batak protestan juga kurang nusantara apa,0,0,0,0,0,0,0,0,0,0,0,0,apa iya islam itu tidak boleh di lokalisasi lah kristen saja mas ada nusantaranya mas lihat saja di gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas sunda jawa ada huria kristen batak protestan juga kurang nusantara apa
ciptakan situasi keamanan dan ketertiban masyarakat menjelang pilihan kepala daerah kepala kepolisian sektor konang silaturahmi ke tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0,ciptakan situasi keamanan dan ketertiban masyarakat menjelang pilihan kepala daerah kepala kepolisian sektor konang silaturahmi ke tokoh masyarakat
positif kok positif respon masyarakat terhadap cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor,0,0,0,0,0,0,0,0,0,0,0,0,positif kok positif respon masyarakat terhadap cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor
kata sembahyang mengadopsi tradisi lokal pada masa pekerjaan hindu lahir dari tradisi ritus yang tunggal sama dengan menyembah all,0,0,0,0,0,0,0,0,0,0,0,0,kata sembahyang mengadopsi tradisi lokal pada masa pekerjaan hindu lahir dari tradisi ritus yang tunggal sama dengan menyembah all
kamu pendidikan tinggi tapi tidak ada larang bawa agama biar orang islam yang di bayar ahok sadar tidak jadi memilih ahok gila,1,1,1,0,0,0,0,0,1,1,0,0,kamu pendidikan tinggi tapi tidak ada larang bawa agama biar orang islam yang di bayar ahok sadar tidak jadi memilih ahok gila
ahok the best abaikan kaum otak micin,1,1,0,1,0,0,0,0,1,0,1,0,ahok the best abaikan kaum otak micin
sih otak tempurung adalah tidak usah di meladeni semakin di lawan semakin belum dan dan kalau tidak begitu dia tidak makan hehe,1,1,1,0,0,0,0,0,1,1,0,0,sih otak tempurung adalah tidak usah di meladeni semakin di lawan semakin belum dan dan kalau tidak begitu dia tidak makan hehe
awaasss jangan sampai beritanya sampai ke saudara gerung nanti susah mencari kosakatanya kalau bocor saja memicing mata bibir monyong kesamping suara keluar ky lagi nhn kentut politik kotor sekali zaman ini kalau tahu b ini pulang sambil ky nhn ngeden,1,1,1,0,0,0,1,0,0,1,0,0,awaasss jangan sampai beritanya sampai ke saudara gerung nanti susah mencari kosakatanya kalau bocor saja memicing mata bibir monyong kesamping suara keluar ky lagi nhn kentut politik kotor sekali zaman ini kalau tahu b ini pulang sambil ky nhn ngeden
pinokio umur tahunan itu,1,0,1,0,0,0,0,0,1,1,0,0,pinokio umur tahunan itu
cerita silat lae semacam kho merah muda oh yang dari indonesia tapi liang ie shen penulis dari cina,0,0,0,0,0,0,0,0,0,0,0,0,cerita silat lae semacam kho merah muda oh yang dari indonesia tapi liang ie shen penulis dari cina
benci sekali dengan umat islam,1,0,0,1,1,0,0,0,0,0,1,0,benci sekali dengan umat islam
provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibukota beginilah cara mendeskripsikan kekalahan junjungannya for your information ahok belum pernah ikut pemilihan apapun kecamatan jadi wakil dan dia bukanlah etnis mayoritas,1,1,1,0,0,1,0,0,0,1,0,0,provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibukota beginilah cara mendeskripsikan kekalahan junjungannya for your information ahok belum pernah ikut pemilihan apapun kecamatan jadi wakil dan dia bukanlah etnis mayoritas
dari pada gue,0,1,0,0,0,0,0,0,0,0,0,0,dari pada gue
wkwk lowo,1,1,0,1,0,0,0,0,1,0,1,0,wkwk lowo
